"COMMUNE";"DCLT";"CS1";"AGEREVQ";"IPONDI"
"61001";"61001";"4";"50";2.84756526909607
"61001";"61001";"2";"40";2.76592098484884
"61001";"61001";"6";"20";3.05217609861379
"61001";"61001";"5";"50";2.89501733013577
"61001";"61001";"4";"40";0.96627569258964
"61001";"61001";"2";"50";3.10816538825797
"61001";"61001";"6";"25";0.96627569258964
"61001";"61001";"3";"35";1.03107590868979
"61001";"61001";"6";"20";3.04417792080616
"61001";"61001";"4";"55";2.94458084017754
"61001";"61001";"5";"35";2.97784753809376
"61001";"61001";"4";"15";3.03257620202879
"61001";"61001";"3";"45";0.96949566336248
"61001";"61001";"3";"40";2.97784753809376
"61001";"61001";"6";"35";0.96627569258964
"61001";"61001";"5";"55";2.86590778865601
"61001";"61001";"4";"55";2.94056115235671
"61001";"61001";"5";"50";3.10019231052909
"61001";"61001";"5";"60";2.94458084017754
"61001";"61001";"5";"20";2.27378888732008
"61001";"61001";"5";"25";3.05217609861379
"61001";"61001";"2";"20";0.96627569258964
"61001";"61001";"5";"45";2.96943184553046
"61001";"61001";"5";"20";1.04433563392852
"61001";"61001";"3";"60";2.31271679188784
"61001";"61001";"3";"30";2.55033870566591
"61001";"61001";"2";"45";3.03257620202879
"61001";"61001";"5";"50";4.00002992144827
"61001";"61001";"4";"20";2.70132342206569
"61001";"61001";"5";"55";2.74721145185593
"61001";"61001";"4";"20";3.01103301562991
"61001";"61001";"4";"50";2.70132342206569
"61001";"61001";"6";"25";0.96627569258964
"61001";"61001";"4";"25";2.32443664049541
"61001";"61001";"6";"25";4.00002992144827
"61001";"61001";"2";"45";1.00000748036207
"61001";"61001";"6";"55";3.09249396613226
"61001";"61001";"3";"60";2.86590778865601
"61001";"61001";"5";"55";3.04417792080616
"61001";"61001";"5";"15";3.09249396613226
"61001";"61001";"5";"25";2.89501733013577
"61001";"61001";"4";"55";3.03257620202879
"61001";"61001";"2";"65";2.55033870566591
"61001";"61001";"4";"30";0.96627569258964
"61001";"61001";"3";"35";2.95257662155114
"61001";"61001";"5";"25";1.0298019023527
"61001";"61001";"5";"25";2.86590778865601
"61001";"61001";"6";"55";2.6443890579465
"61001";"61001";"6";"60";2.97159556907826
"61001";"61001";"4";"50";2.97784753809376
"61001";"61001";"6";"25";1.0298019023527
"61001";"61001";"5";"40";2.95257662155114
"61001";"61001";"4";"30";2.96943184553046
"61001";"61001";"5";"50";2.96943184553046
"61001";"61001";"2";"45";1.00115748566036
"61001";"61001";"5";"55";2.7089792662193
"61001";"61001";"5";"35";2.98153154433394
"61001";"61001";"5";"15";3.01987429750594
"61001";"61001";"6";"60";2.85638929397278
"61001";"61001";"5";"40";2.76592098484884
"61001";"61001";"6";"45";2.7089792662193
"61001";"61001";"6";"35";0.97854398988832
"61001";"61001";"5";"40";2.85145783341905
"61001";"61001";"2";"30";3.08827236006798
"61001";"61001";"3";"45";2.30955967037345
"61001";"61001";"5";"45";2.74721145185593
"61001";"61001";"2";"50";1.00000748036207
"61001";"61001";"5";"20";3.02843639052873
"61001";"61001";"4";"25";3.01987429750594
"61001";"61001";"5";"15";2.83810769513598
"61001";"61001";"4";"20";2.77659674050597
