"CODGEO";"LIBGEO";"P12_POP";"SUPERF";"typoA";"typoB"
"41216";"Saint-Jean-Froidmentel";502;17;"CLASSE 2";"E"
"41217";"Saint-Julien-de-Chédon";738;10;"CLASSE 3";"A"
"41218";"Saint-Julien-sur-Cher";760;16;"CLASSE 1";"E"
"41219";"Saint-Laurent-des-Bois";303;18;"CLASSE 2";"B"
"41220";"Saint-Laurent-Nouan";4268;61;"CLASSE 1";"E"
"41221";"Saint-Léonard-en-Beauce";638;41;"CLASSE 5";"B"
"41222";"Saint-Loup";369;15;"CLASSE 5";"C"
"41223";"Saint-Lubin-en-Vergonnois";703;17;"CLASSE 3";"A"
"41224";"Saint-Marc-du-Cor";185;13;"CLASSE 3";"D"
"41225";"Saint-Martin-des-Bois";633;36;"CLASSE 5";"D"
"41226";"Saint-Ouen";3372;11;"CLASSE 3";"B"
"41228";"Saint-Rimay";288;7;"CLASSE 4";"B"
"41229";"Saint-Romain-sur-Cher";1506;31;"CLASSE 5";"B"
"41230";"Saint-Sulpice-de-Pommeray";1826;12;"CLASSE 2";"E"
"41231";"Saint-Viâtre";1273;90;"CLASSE 1";"F"
"41232";"Salbris";5621;107;"CLASSE 1";"E"
"41233";"Sambin";942;21;"CLASSE 2";"C"
"41234";"Santenay";286;30;"CLASSE 1";"E"
"41235";"Sargé-sur-Braye";1045;43;"CLASSE 1";"C"
"41236";"Sasnières";106;8;"CLASSE 3";"E"
"41237";"Sassay";939;16;"CLASSE 2";"E"
"41238";"Savigny-sur-Braye";2128;67;"CLASSE 2";"C"
"41239";"Seigy";1110;8;"CLASSE 3";"A"
"41240";"Seillac";100;10;"CLASSE 1";"C"
"41241";"Selles-Saint-Denis";1254;51;"CLASSE 2";"F"
"41242";"Selles-sur-Cher";4616;26;"CLASSE 3";"C"
"41243";"Selommes";836;28;"CLASSE 3";"F"
"41244";"Semerville";91;10;"CLASSE 2";"F"
"41245";"Séris";382;18;"CLASSE 5";"E"
"41246";"Seur";471;4;"CLASSE 1";"D"
"41247";"Soings-en-Sologne";1583;35;"CLASSE 3";"C"
"41248";"Souday";537;36;"CLASSE 3";"D"
"41249";"Souesmes";1120;100;"CLASSE 5";"E"
"41250";"Sougé";478;17;"CLASSE 4";"B"
"41251";"Souvigny-en-Sologne";499;42;"CLASSE 3";"D"
"41252";"Suèvres";1575;37;"CLASSE 5";"E"
"41253";"Talcy";262;15;"CLASSE 3";"A"
"41254";"Le Temple";176;13;"CLASSE 4";"E"
"41255";"Ternay";329;14;"CLASSE 4";"C"
"41256";"Theillay";1313;96;"CLASSE 5";"D"
"41257";"Thenay";844;20;"CLASSE 4";"C"
"41258";"Thésée";1187;18;"CLASSE 2";"F"
"41259";"Thoré-la-Rochette";870;11;"CLASSE 2";"B"
"41260";"Thoury";411;16;"CLASSE 4";"B"
"41261";"Tourailles";129;7;"CLASSE 1";"A"
"41262";"Tour-en-Sologne";1025;26;"CLASSE 2";"A"
"41263";"Tréhet";111;6;"CLASSE 1";"A"
"41264";"Tripleville";162;13;"CLASSE 1";"A"
"41265";"Troo";315;14;"CLASSE 4";"A"
"41266";"Valaire";72;7;"CLASSE 3";"A"
"41267";"Vallières-les-Grandes";855;41;"CLASSE 4";"F"
"41268";"Veilleins";155;43;"CLASSE 1";"A"
"41269";"Vendôme";17024;24;"CLASSE 3";"C"
"41270";"Verdes";489;29;"CLASSE 4";"C"
"41271";"Vernou-en-Sologne";611;51;"CLASSE 4";"A"
"41272";"Veuves";213;8;"CLASSE 3";"E"
"41273";"Vievy-le-Rayé";484;45;"CLASSE 4";"A"
"41274";"Villavard";139;5;"CLASSE 1";"D"
"41275";"La Ville-aux-Clercs";1316;27;"CLASSE 1";"B"
"41276";"Villebarou";2569;9;"CLASSE 3";"E"
"41277";"Villebout";127;11;"CLASSE 3";"E"
"41278";"Villechauve";293;11;"CLASSE 3";"A"
"41279";"Villedieu-le-Château";409;30;"CLASSE 3";"B"
"41280";"Villefranche-sur-Cher";2746;27;"CLASSE 5";"D"
"41281";"Villefrancoeur";451;18;"CLASSE 3";"A"
"41282";"Villeherviers";484;39;"CLASSE 3";"E"
"41283";"Villemardy";277;12;"CLASSE 4";"F"
"41284";"Villeneuve-Frouville";65;4;"CLASSE 4";"B"
"41285";"Villeny";432;34;"CLASSE 2";"C"
"41286";"Villeporcher";149;12;"CLASSE 1";"A"
"41287";"Villerable";550;17;"CLASSE 2";"B"
"41288";"Villerbon";790;17;"CLASSE 1";"A"
"41289";"Villermain";372;29;"CLASSE 5";"C"
"41290";"Villeromain";232;13;"CLASSE 3";"B"
"41291";"Villetrun";326;7;"CLASSE 1";"F"
"41292";"Villexanton";187;12;"CLASSE 2";"D"
"41293";"Villiersfaux";256;7;"CLASSE 2";"B"
"41294";"Villiers-sur-Loir";1165;10;"CLASSE 1";"F"
"41295";"Vineuil";7443;22;"CLASSE 1";"D"
"41296";"Vouzon";1500;78;"CLASSE 3";"B"
"41297";"Yvoy-le-Marron";607;49;"CLASSE 4";"B"
"42001";"Aboën";396;9;"CLASSE 3";"D"
"42002";"Ailleux";148;9;"CLASSE 1";"B"
"42003";"Ambierle";1806;31;"CLASSE 2";"D"
"42004";"Amions";290;17;"CLASSE 2";"B"
"42005";"Andrézieux-Bouthéon";9788;16;"CLASSE 4";"E"
"42006";"Apinac";418;15;"CLASSE 1";"C"
"42007";"Arcinges";200;3;"CLASSE 5";"B"
"42008";"Arcon";105;19;"CLASSE 4";"B"
"42009";"Arthun";540;14;"CLASSE 1";"E"
"42010";"Aveizieux";1513;9;"CLASSE 5";"F"
"42011";"Balbigny";2897;17;"CLASSE 3";"D"
"42012";"Bard";629;14;"CLASSE 5";"B"
"42013";"Bellegarde-en-Forez";2004;19;"CLASSE 5";"F"
"42014";"Belleroche";273;14;"CLASSE 4";"B"
"42015";"Belmont-de-la-Loire";1567;24;"CLASSE 3";"E"
"42016";"La Bénisson-Dieu";435;11;"CLASSE 3";"A"
"42017";"Le Bessat";431;10;"CLASSE 5";"A"
"42018";"Bessey";410;6;"CLASSE 2";"C"
"42019";"Boën-sur-Lignon";3204;6;"CLASSE 4";"D"
"42020";"Boisset-lès-Montrond";1124;8;"CLASSE 3";"C"
"42021";"Boisset-Saint-Priest";1177;18;"CLASSE 3";"B"
"42022";"Bonson";3674;5;"CLASSE 5";"E"
"42023";"Bourg-Argental";2959;20;"CLASSE 1";"D"
"42025";"Boyer";222;5;"CLASSE 2";"D"
"42026";"Briennon";1733;24;"CLASSE 4";"D"
"42027";"Bully";415;19;"CLASSE 5";"C"
"42028";"Burdignes";347;31;"CLASSE 4";"A"
"42029";"Bussières";1577;17;"CLASSE 5";"B"
"42030";"Bussy-Albieux";483;20;"CLASSE 3";"F"
"42031";"Caloire";347;5;"CLASSE 1";"C"
"42032";"Cellieu";1636;12;"CLASSE 5";"B"
"42033";"Le Cergne";694;6;"CLASSE 4";"A"
"42034";"Cervières";115;8;"CLASSE 3";"F"
"42035";"Cezay";200;11;"CLASSE 3";"C"
"42036";"Chagnon";497;2;"CLASSE 3";"F"
"42037";"Chalain-d'Uzore";539;8;"CLASSE 5";"B"
"42038";"Chalain-le-Comtal";693;18;"CLASSE 4";"B"
"42039";"Chalmazel";395;39;"CLASSE 5";"A"
"42040";"La Chamba";51;5;"CLASSE 4";"A"
"42041";"Chambéon";504;17;"CLASSE 1";"B"
"42042";"Chambles";967;19;"CLASSE 4";"A"
"42043";"Chamboeuf";1551;11;"CLASSE 3";"D"
"42044";"Le Chambon-Feugerolles";12347;18;"CLASSE 2";"B"
"42045";"La Chambonie";51;4;"CLASSE 2";"B"
"42046";"Champdieu";1751;18;"CLASSE 1";"B"
"42047";"Champoly";309;15;"CLASSE 3";"E"
"42048";"Chandon";1427;12;"CLASSE 1";"E"
"42049";"Changy";605;14;"CLASSE 3";"C"
"42050";"La Chapelle-en-Lafaye";145;9;"CLASSE 4";"D"
"42051";"La Chapelle-Villars";543;8;"CLASSE 1";"C"
"42052";"Charlieu";3705;7;"CLASSE 5";"D"
"42053";"Châteauneuf";1518;14;"CLASSE 1";"F"
"42054";"Châtelneuf";320;8;"CLASSE 4";"B"
"42055";"Châtelus";125;3;"CLASSE 5";"B"
"42056";"Chavanay";2842;15;"CLASSE 3";"D"
"42058";"Chazelles-sur-Lavieu";268;10;"CLASSE 1";"B"
"42059";"Chazelles-sur-Lyon";5137;21;"CLASSE 1";"C"
"42060";"Chenereilles";499;9;"CLASSE 3";"E"
"42061";"Cherier";495;28;"CLASSE 5";"D"
"42062";"Chevrières";1065;15;"CLASSE 2";"A"
"42063";"Chirassimont";377;11;"CLASSE 3";"D"
"42064";"Chuyer";790;12;"CLASSE 3";"F"
"42065";"Civens";1373;13;"CLASSE 3";"C"
"42066";"Cleppé";570;15;"CLASSE 3";"A"
"42067";"Colombier";299;18;"CLASSE 3";"B"
"42068";"Combre";434;4;"CLASSE 4";"C"
"42069";"Commelle-Vernay";2802;12;"CLASSE 5";"C"
"42070";"Cordelle";895;27;"CLASSE 1";"C"
"42071";"Le Coteau";6815;5;"CLASSE 2";"B"
"42072";"La Côte-en-Couzan";74;9;"CLASSE 5";"E"
"42073";"Cottance";672;14;"CLASSE 1";"E"
"42074";"Coutouvre";1105;22;"CLASSE 2";"A"
"42075";"Craintilleux";1205;8;"CLASSE 5";"F"
"42076";"Cremeaux";919;33;"CLASSE 5";"C"
"42077";"Croizet-sur-Gand";310;6;"CLASSE 3";"C"
"42078";"Le Crozet";293;13;"CLASSE 1";"C"
"42079";"Cuinzier";685;6;"CLASSE 3";"C"
"42081";"Cuzieu";1494;12;"CLASSE 5";"F"
"42082";"Dancé";166;9;"CLASSE 4";"D"
"42083";"Dargoire";478;2;"CLASSE 3";"F"
"42084";"Débats-Rivière-d'Orpra";165;3;"CLASSE 3";"A"
"42085";"Doizieux";837;28;"CLASSE 5";"F"
"42086";"Écoche";557;12;"CLASSE 1";"D"
"42087";"Écotay-l'Olme";1190;7;"CLASSE 5";"D"
"42088";"Épercieux-Saint-Paul";676;8;"CLASSE 3";"B"
"42089";"Essertines-en-Châtelneuf";669;15;"CLASSE 1";"C"
"42090";"Essertines-en-Donzy";494;7;"CLASSE 4";"D"
"42091";"Estivareilles";696;23;"CLASSE 5";"D"
"42092";"L'Étrat";2684;8;"CLASSE 2";"B"
"42093";"Farnay";1391;8;"CLASSE 2";"E"
"42094";"Feurs";7893;24;"CLASSE 1";"D"
"42095";"Firminy";17123;10;"CLASSE 5";"F"
"42096";"Fontanès";658;7;"CLASSE 5";"E"
"42097";"La Fouillouse";4314;21;"CLASSE 2";"D"
"42098";"Fourneaux";630;12;"CLASSE 2";"C"
"42099";"Fraisses";3765;5;"CLASSE 5";"F"
"42100";"La Gimond";291;3;"CLASSE 2";"A"
"42101";"Graix";149;9;"CLASSE 5";"F"
"42102";"Grammond";883;8;"CLASSE 4";"C"
"42103";"La Grand-Croix";5059;4;"CLASSE 4";"E"
"42104";"La Gresle";803;15;"CLASSE 2";"E"
"42105";"Grézieux-le-Fromental";158;10;"CLASSE 2";"C"
"42106";"Grézolles";286;6;"CLASSE 1";"F"
"42107";"Gumières";320;16;"CLASSE 1";"B"
"42108";"L'Hôpital-le-Grand";983;13;"CLASSE 4";"A"
"42109";"L'Hôpital-sous-Rochefort";122;1;"CLASSE 2";"A"
"42110";"L'Horme";4781;4;"CLASSE 3";"A"
"42112";"Jarnosse";423;12;"CLASSE 1";"A"
"42113";"Jas";224;6;"CLASSE 4";"B"
"42114";"Jeansagnière";81;14;"CLASSE 4";"B"
"42115";"Jonzieux";1196;10;"CLASSE 4";"F"
"42116";"Juré";236;12;"CLASSE 4";"F"
"42117";"Lavieu";101;4;"CLASSE 4";"E"
"42118";"Lay";718;13;"CLASSE 2";"B"
"42119";"Leigneux";409;5;"CLASSE 3";"A"
"42120";"Lentigny";1625;11;"CLASSE 2";"A"
"42121";"Lérigneux";155;10;"CLASSE 2";"C"
"42122";"Lézigneux";1676;15;"CLASSE 4";"A"
"42123";"Lorette";4653;3;"CLASSE 2";"D"
"42124";"Lupé";319;1;"CLASSE 1";"C"
"42125";"Luré";149;6;"CLASSE 4";"A"
"42126";"Luriecq";1241;20;"CLASSE 1";"C"
"42127";"Mably";7614;33;"CLASSE 3";"E"
"42128";"Machézal";416;14;"CLASSE 3";"B"
"42129";"Maclas";1740;10;"CLASSE 5";"E"
"42130";"Magneux-Haute-Rive";521;13;"CLASSE 5";"D"
"42131";"Maizilly";346;5;"CLASSE 4";"C"
"42132";"Malleval";567;5;"CLASSE 3";"A"
"42133";"Marcenod";680;9;"CLASSE 3";"F"
"42134";"Marcilly-le-Châtel";1316;16;"CLASSE 4";"E"
"42135";"Marclopt";501;8;"CLASSE 4";"C"
"42136";"Marcoux";772;15;"CLASSE 3";"C"
"42137";"Margerie-Chantagret";747;8;"CLASSE 1";"A"
"42138";"Maringes";665;9;"CLASSE 3";"C"
"42139";"Marlhes";1382;33;"CLASSE 3";"C"
"42140";"Marols";420;15;"CLASSE 4";"F"
"42141";"Mars";562;12;"CLASSE 3";"E"
"42142";"Merle-Leignec";307;16;"CLASSE 5";"F"
"42143";"Mizérieux";413;7;"CLASSE 1";"D"
"42145";"Montagny";1158;26;"CLASSE 2";"A"
"42146";"Montarcher";66;6;"CLASSE 2";"E"
"42147";"Montbrison";15414;16;"CLASSE 1";"B"
"42148";"Montchal";478;9;"CLASSE 1";"C"
"42149";"Montrond-les-Bains";5270;10;"CLASSE 2";"E"
"42150";"Montverdun";1212;17;"CLASSE 4";"A"
"42151";"Mornand-en-Forez";407;22;"CLASSE 3";"D"
"42152";"Nandax";551;8;"CLASSE 5";"F"
"42153";"Neaux";512;17;"CLASSE 5";"B"
"42154";"Néronde";477;9;"CLASSE 3";"A"
"42155";"Nervieux";943;19;"CLASSE 2";"C"
"42156";"Neulise";1282;23;"CLASSE 4";"C"
"42157";"Noailly";804;31;"CLASSE 4";"B"
"42158";"Les Noës";193;16;"CLASSE 4";"C"
"42159";"Noirétable";1658;40;"CLASSE 5";"E"
"42160";"Nollieux";170;7;"CLASSE 5";"E"
"42161";"Notre-Dame-de-Boisset";548;9;"CLASSE 4";"D"
"42162";"Ouches";1110;10;"CLASSE 5";"F"
"42163";"La Pacaudière";1055;21;"CLASSE 2";"E"
"42164";"Palogneux";80;7;"CLASSE 2";"F"
"42165";"Panissières";2958;27;"CLASSE 2";"D"
"42166";"Parigny";618;9;"CLASSE 1";"F"
"42167";"Pavezin";360;9;"CLASSE 3";"C"
"42168";"Pélussin";3592;32;"CLASSE 5";"E"
"42169";"Périgneux";1410;32;"CLASSE 3";"B"
"42170";"Perreux";2212;41;"CLASSE 2";"E"
"42171";"Pinay";275;7;"CLASSE 4";"B"
"42172";"Planfoy";969;12;"CLASSE 1";"E"
"42173";"Pommiers";369;24;"CLASSE 3";"C"
"42174";"Poncins";955;21;"CLASSE 2";"D"
"42175";"Pouilly-lès-Feurs";1196;13;"CLASSE 5";"E"
"42176";"Pouilly-les-Nonains";1893;10;"CLASSE 4";"C"
"42177";"Pouilly-sous-Charlieu";2534;16;"CLASSE 1";"F"
"42178";"Pradines";748;12;"CLASSE 2";"B"
"42179";"Pralong";883;8;"CLASSE 5";"B"
"42180";"Précieux";1059;16;"CLASSE 4";"B"
"42181";"Régny";1609;14;"CLASSE 3";"A"
"42182";"Renaison";2924;23;"CLASSE 2";"E"
"42183";"La Ricamarie";7931;7;"CLASSE 5";"D"
"42184";"Riorges";10725;16;"CLASSE 3";"A"
"42185";"Rivas";531;5;"CLASSE 2";"D"
"42186";"Rive-de-Gier";14633;7;"CLASSE 3";"D"
"42187";"Roanne";35799;16;"CLASSE 1";"E"
"42188";"Roche";271;23;"CLASSE 4";"C"
"42189";"Roche-la-Molière";10242;17;"CLASSE 3";"D"
"42191";"Roisey";883;13;"CLASSE 3";"E"
"42192";"Rozier-Côtes-d'Aurec";451;14;"CLASSE 3";"C"
"42193";"Rozier-en-Donzy";1378;10;"CLASSE 1";"E"
"42194";"Sail-les-Bains";201;21;"CLASSE 2";"B"
"42195";"Sail-sous-Couzan";946;7;"CLASSE 2";"C"
"42196";"Sainte-Agathe-en-Donzy";113;3;"CLASSE 1";"A"
"42197";"Sainte-Agathe-la-Bouteresse";1084;12;"CLASSE 5";"A"
"42198";"Saint-Alban-les-Eaux";931;8;"CLASSE 2";"A"
"42199";"Saint-André-d'Apchon";1917;13;"CLASSE 3";"D"
"42200";"Saint-André-le-Puy";1326;9;"CLASSE 4";"A"
"42201";"Saint-Appolinard";617;10;"CLASSE 2";"D"
"42202";"Saint-Barthélemy-Lestra";675;11;"CLASSE 2";"A"
"42203";"Saint-Bonnet-des-Quarts";370;32;"CLASSE 3";"E"
"42204";"Saint-Bonnet-le-Château";1570;2;"CLASSE 4";"D"
"42205";"Saint-Bonnet-le-Courreau";735;50;"CLASSE 3";"B"
"42206";"Saint-Bonnet-les-Oules";1543;12;"CLASSE 1";"C"
"42207";"Saint-Chamond";35564;55;"CLASSE 1";"E"
"42208";"Saint-Christo-en-Jarez";1842;22;"CLASSE 1";"E"
"42209";"Sainte-Colombe-sur-Gand";425;14;"CLASSE 1";"B"
"42210";"Sainte-Croix-en-Jarez";427;12;"CLASSE 4";"E"
"42211";"Saint-Cyprien";2328;7;"CLASSE 5";"C"
"42212";"Saint-Cyr-de-Favières";808;14;"CLASSE 5";"D"
"42213";"Saint-Cyr-de-Valorges";339;10;"CLASSE 5";"D"
"42214";"Saint-Cyr-les-Vignes";928;19;"CLASSE 2";"C"
"42215";"Saint-Denis-de-Cabanne";1291;8;"CLASSE 5";"F"
"42216";"Saint-Denis-sur-Coise";638;11;"CLASSE 3";"C"
"42217";"Saint-Didier-sur-Rochefort";412;23;"CLASSE 1";"A"
"42218";"Saint-Étienne";171483;80;"CLASSE 5";"E"
"42219";"Saint-Étienne-le-Molard";984;17;"CLASSE 1";"F"
"42220";"Saint-Forgeux-Lespinasse";563;16;"CLASSE 1";"A"
"42221";"Sainte-Foy-Saint-Sulpice";524;29;"CLASSE 1";"A"
"42222";"Saint-Galmier";5646;19;"CLASSE 4";"C"
"42223";"Saint-Genest-Lerpt";5867;13;"CLASSE 4";"B"
"42224";"Saint-Genest-Malifaux";2918;47;"CLASSE 4";"B"
"42225";"Genilac";3847;9;"CLASSE 1";"B"
"42226";"Saint-Georges-de-Baroille";369;15;"CLASSE 3";"E"
"42227";"Saint-Georges-en-Couzan";418;24;"CLASSE 2";"C"
"42228";"Saint-Georges-Haute-Ville";1324;10;"CLASSE 3";"D"
"42229";"Saint-Germain-la-Montagne";237;13;"CLASSE 2";"C"
"42230";"Saint-Germain-Laval";1661;17;"CLASSE 1";"C"
"42231";"Saint-Germain-Lespinasse";1161;15;"CLASSE 2";"B"
"42232";"Saint-Haon-le-Châtel";605;1;"CLASSE 1";"C"
"42233";"Saint-Haon-le-Vieux";930;16;"CLASSE 4";"D"
"42234";"Saint-Héand";3535;31;"CLASSE 2";"F"
"42235";"Saint-Hilaire-Cusson-la-Valm";328;18;"CLASSE 4";"F"
"42236";"Saint-Hilaire-sous-Charlieu";560;14;"CLASSE 3";"F"
"42237";"Saint-Jean-Bonnefonds";6512;12;"CLASSE 2";"C"
"42238";"Saint-Jean-la-Vêtre";340;16;"CLASSE 2";"E"
"42239";"Saint-Jean-Saint-Maurice-sur";1123;24;"CLASSE 1";"B"
"42240";"Saint-Jean-Soleymieux";843;16;"CLASSE 3";"C"
"42241";"Saint-Jodard";522;7;"CLASSE 2";"F"
"42242";"Saint-Joseph";1919;8;"CLASSE 2";"A"
"42243";"Saint-Julien-d'Oddes";271;10;"CLASSE 3";"B"
"42245";"Saint-Julien-la-Vêtre";359;13;"CLASSE 3";"C"
"42246";"Saint-Julien-Molin-Molette";1262;9;"CLASSE 4";"B"
"42247";"Saint-Just-en-Bas";301;21;"CLASSE 3";"C"
"42248";"Saint-Just-en-Chevalet";1150;29;"CLASSE 3";"E"
"42249";"Saint-Just-la-Pendue";1635;20;"CLASSE 5";"F"
"42251";"Saint-Laurent-la-Conche";608;16;"CLASSE 2";"B"
"42252";"Saint-Laurent-Rochefort";243;16;"CLASSE 2";"A"
"42253";"Saint-Léger-sur-Roanne";1145;5;"CLASSE 2";"A"
"42254";"Saint-Marcel-de-Félines";805;22;"CLASSE 4";"F"
"42255";"Saint-Marcel-d'Urfé";289;14;"CLASSE 4";"C"
"42256";"Saint-Marcellin-en-Forez";4376;31;"CLASSE 4";"A"
"42257";"Saint-Martin-d'Estréaux";890;30;"CLASSE 5";"E"
"42259";"Saint-Martin-la-Plaine";3705;10;"CLASSE 3";"E"
"42260";"Saint-Martin-la-Sauveté";984;30;"CLASSE 5";"C"
"42261";"Saint-Martin-Lestra";915;16;"CLASSE 3";"B"
"42262";"Saint-Maurice-en-Gourgois";1744;32;"CLASSE 1";"C"
"42264";"Saint-Médard-en-Forez";1004;10;"CLASSE 3";"E"
"42265";"Saint-Michel-sur-Rhône";796;6;"CLASSE 1";"C"
"42266";"Saint-Nizier-de-Fornas";652;16;"CLASSE 5";"E"
"42267";"Saint-Nizier-sous-Charlieu";1679;13;"CLASSE 1";"C"
"42268";"Saint-Paul-de-Vézelin";310;14;"CLASSE 5";"E"
"42269";"Saint-Paul-d'Uzore";147;10;"CLASSE 4";"E"
"42270";"Saint-Paul-en-Cornillon";1339;4;"CLASSE 1";"D"
"42271";"Saint-Paul-en-Jarez";4315;20;"CLASSE 3";"C"
"42272";"Saint-Pierre-de-Boeuf";1683;6;"CLASSE 3";"D"
"42273";"Saint-Pierre-la-Noaille";371;7;"CLASSE 3";"B"
"42274";"Saint-Polgues";243;6;"CLASSE 2";"D"
"42275";"Saint-Priest-en-Jarez";6142;3;"CLASSE 3";"D"
"42276";"Saint-Priest-la-Prugne";448;37;"CLASSE 4";"E"
"42277";"Saint-Priest-la-Roche";335;14;"CLASSE 4";"B"
"42278";"Saint-Priest-la-Vêtre";147;5;"CLASSE 3";"F"
"42279";"Saint-Just-Saint-Rambert";14337;41;"CLASSE 5";"F"
"42280";"Saint-Régis-du-Coin";378;20;"CLASSE 3";"E"
"42281";"Saint-Rirand";151;16;"CLASSE 4";"A"
"42282";"Saint-Romain-d'Urfé";282;15;"CLASSE 2";"C"
"42283";"Saint-Romain-en-Jarez";1192;17;"CLASSE 4";"D"
"42284";"Saint-Romain-la-Motte";1505;28;"CLASSE 4";"B"
"42285";"Saint-Romain-le-Puy";3746;21;"CLASSE 2";"B"
"42286";"Saint-Romain-les-Atheux";956;15;"CLASSE 1";"B"
"42287";"Saint-Sauveur-en-Rue";1133;30;"CLASSE 3";"D"
"42288";"Saint-Sixte";715;15;"CLASSE 2";"D"
"42289";"Saint-Symphorien-de-Lay";1877;34;"CLASSE 5";"B"
"42290";"Saint-Thomas-la-Garde";582;3;"CLASSE 4";"A"
"42291";"Saint-Thurin";188;7;"CLASSE 5";"F"
"42293";"Saint-Victor-sur-Rhins";1149;11;"CLASSE 4";"D"
"42294";"Saint-Vincent-de-Boisset";873;4;"CLASSE 5";"E"
"42295";"Les Salles";502;25;"CLASSE 1";"A"
"42296";"Salt-en-Donzy";539;9;"CLASSE 5";"E"
"42297";"Salvizinet";585;11;"CLASSE 3";"D"
"42298";"Sauvain";386;30;"CLASSE 2";"F"
"42299";"Savigneux";3353;19;"CLASSE 4";"B"
"42300";"Sevelinges";663;8;"CLASSE 1";"C"
"42301";"Soleymieux";680;9;"CLASSE 1";"C"
"42302";"Sorbiers";7868;12;"CLASSE 2";"D"
"42303";"Souternon";305;17;"CLASSE 2";"F"
"42304";"Sury-le-Comtal";5979;24;"CLASSE 3";"F"
"42305";"La Talaudière";6496;8;"CLASSE 4";"E"
"42306";"Tarentaise";451;13;"CLASSE 2";"D"
"42307";"Tartaras";818;4;"CLASSE 2";"E"
"42308";"La Terrasse-sur-Dorlay";776;9;"CLASSE 2";"E"
"42310";"Thélis-la-Combe";175;15;"CLASSE 4";"C"
"42311";"La Tour-en-Jarez";1462;5;"CLASSE 4";"A"
"42312";"La Tourette";564;6;"CLASSE 2";"B"
"42313";"Trelins";646;8;"CLASSE 5";"D"
"42314";"La Tuilière";283;31;"CLASSE 1";"E"
"42315";"Unias";395;5;"CLASSE 4";"B"
"42316";"Unieux";8761;9;"CLASSE 4";"B"
"42317";"Urbise";134;16;"CLASSE 5";"D"
"42318";"Usson-en-Forez";1476;47;"CLASSE 4";"D"
"42319";"Valeille";674;16;"CLASSE 4";"A"
"42320";"Valfleury";701;9;"CLASSE 3";"C"
"42321";"La Valla-sur-Rochefort";124;9;"CLASSE 1";"A"
"42322";"La Valla-en-Gier";973;35;"CLASSE 2";"D"
"42323";"Veauche";8619;10;"CLASSE 3";"A"
"42324";"Veauchette";1062;8;"CLASSE 3";"D"
"42325";"Vendranges";340;11;"CLASSE 2";"B"
"42326";"Véranne";830;16;"CLASSE 3";"B"
"42327";"Vérin";686;3;"CLASSE 3";"C"
"42328";"Verrières-en-Forez";664;21;"CLASSE 2";"C"
"42329";"La Versanne";361;15;"CLASSE 1";"C"
"42330";"Villars";7887;6;"CLASSE 5";"F"
"42331";"Villemontais";985;13;"CLASSE 3";"D"
"42332";"Villerest";4696;15;"CLASSE 2";"B"
"42333";"Villers";581;6;"CLASSE 1";"D"
"42334";"Violay";1317;27;"CLASSE 4";"E"
"42335";"Viricelles";442;2;"CLASSE 5";"A"
"42336";"Virigneux";609;12;"CLASSE 2";"A"
"42337";"Vivans";240;25;"CLASSE 1";"A"
"42338";"Vougy";1415;21;"CLASSE 3";"A"
"42339";"Chausseterre";244;17;"CLASSE 4";"C"
"43001";"Agnat";189;20;"CLASSE 1";"C"
"43002";"Aiguilhe";1569;1;"CLASSE 2";"D"
"43003";"Allègre";968;24;"CLASSE 3";"B"
"43004";"Alleyrac";117;11;"CLASSE 5";"D"
"43005";"Alleyras";166;25;"CLASSE 1";"C"
"43006";"Ally";154;31;"CLASSE 5";"E"
"43007";"Araules";610;31;"CLASSE 1";"E"
"43008";"Arlempdes";133;14;"CLASSE 4";"E"
"43009";"Arlet";24;6;"CLASSE 3";"C"
"43010";"Arsac-en-Velay";1225;12;"CLASSE 2";"F"
"43011";"Aubazat";177;16;"CLASSE 3";"E"
"43012";"Aurec-sur-Loire";5804;22;"CLASSE 5";"F"
"43013";"Vissac-Auteyrac";336;17;"CLASSE 3";"F"
"43014";"Autrac";79;8;"CLASSE 1";"D"
"43015";"Auvers";59;22;"CLASSE 1";"B"
"43016";"Auzon";886;17;"CLASSE 1";"F"
"43017";"Azérat";266;18;"CLASSE 3";"C"
"43018";"Bains";1308;38;"CLASSE 4";"D"
"43019";"Barges";75;7;"CLASSE 5";"B"
"43020";"Bas-en-Basset";4286;47;"CLASSE 2";"A"
"43021";"Beaulieu";973;22;"CLASSE 5";"B"
"43022";"Beaumont";271;12;"CLASSE 3";"E"
"43023";"Beaune-sur-Arzon";221;14;"CLASSE 4";"D"
"43024";"Beaux";809;17;"CLASSE 3";"E"
"43025";"Beauzac";2755;36;"CLASSE 1";"E"
"43026";"Bellevue-la-Montagne";454;33;"CLASSE 5";"C"
"43027";"Berbezit";59;10;"CLASSE 2";"C"
"43028";"Bessamorel";412;7;"CLASSE 4";"D"
"43029";"La Besseyre-Saint-Mary";127;22;"CLASSE 3";"C"
"43030";"Blanzac";327;9;"CLASSE 3";"A"
"43031";"Blassac";154;13;"CLASSE 4";"F"
"43032";"Blavozy";1613;6;"CLASSE 3";"B"
"43033";"Blesle";621;30;"CLASSE 3";"F"
"43034";"Boisset";315;14;"CLASSE 4";"F"
"43035";"Bonneval";80;15;"CLASSE 3";"C"
"43036";"Borne";424;5;"CLASSE 1";"E"
"43037";"Le Bouchet-Saint-Nicolas";258;19;"CLASSE 4";"D"
