"CODGEO";"LIBGEO";"P12_POP";"SUPERF";"typoA";"typoB"
"01293";"Peyriat";174;6;"CLASSE 3";"D"
"01294";"Peyrieu";831;14;"CLASSE 4";"E"
"01295";"Peyzieux-sur-Saône";576;9;"CLASSE 3";"B"
"01296";"Pirajoux";381;13;"CLASSE 3";"D"
"01297";"Pizay";770;11;"CLASSE 1";"E"
"01298";"Plagne";134;6;"CLASSE 1";"F"
"01299";"Le Plantay";532;20;"CLASSE 1";"D"
"01300";"Le Poizat";440;18;"CLASSE 3";"B"
"01301";"Polliat";2374;20;"CLASSE 5";"F"
"01302";"Pollieu";157;4;"CLASSE 2";"E"
"01303";"Poncin";1687;20;"CLASSE 2";"D"
"01304";"Pont-d'Ain";2668;11;"CLASSE 4";"D"
"01305";"Pont-de-Vaux";2261;8;"CLASSE 4";"E"
"01306";"Pont-de-Veyle";1604;2;"CLASSE 2";"D"
"01307";"Port";850;4;"CLASSE 3";"F"
"01308";"Pougny";812;8;"CLASSE 4";"C"
"01309";"Pouillat";92;6;"CLASSE 2";"F"
"01310";"Prémeyzel";222;8;"CLASSE 5";"C"
"01311";"Prémillieu";42;9;"CLASSE 1";"F"
"01312";"Pressiat";234;6;"CLASSE 5";"A"
"01313";"Prévessin-Moëns";7410;12;"CLASSE 3";"F"
"01314";"Priay";1553;16;"CLASSE 2";"E"
"01316";"Pugieu";179;5;"CLASSE 4";"B"
"01317";"Ramasse";271;10;"CLASSE 3";"B"
"01318";"Rancé";667;10;"CLASSE 3";"F"
"01319";"Relevant";474;12;"CLASSE 2";"C"
"01320";"Replonges";3644;17;"CLASSE 3";"B"
"01321";"Revonnas";871;8;"CLASSE 2";"E"
"01322";"Reyrieux";4311;16;"CLASSE 3";"E"
"01323";"Reyssouze";973;10;"CLASSE 1";"E"
"01325";"Rignieux-le-Franc";960;15;"CLASSE 1";"D"
"01328";"Romans";594;22;"CLASSE 5";"A"
"01329";"Rossillon";145;8;"CLASSE 5";"F"
"01330";"Ruffieu";198;14;"CLASSE 4";"F"
"01331";"Saint-Alban";164;8;"CLASSE 4";"E"
"01332";"Saint-André-de-Bâgé";684;3;"CLASSE 5";"D"
"01333";"Saint-André-de-Corcy";2959;21;"CLASSE 2";"A"
"01334";"Saint-André-d'Huiriat";539;9;"CLASSE 4";"D"
"01335";"Saint-André-le-Bouchoux";340;9;"CLASSE 3";"A"
"01336";"Saint-André-sur-Vieux-Jonc";1118;24;"CLASSE 2";"D"
"01337";"Saint-Bénigne";1209;16;"CLASSE 5";"D"
"01338";"Saint-Benoît";810;22;"CLASSE 3";"A"
"01339";"Saint-Bernard";1396;3;"CLASSE 4";"C"
"01340";"Saint-Bois";132;9;"CLASSE 2";"F"
"01341";"Saint-Champ";150;5;"CLASSE 4";"F"
"01342";"Sainte-Croix";523;11;"CLASSE 5";"D"
"01343";"Saint-Cyr-sur-Menthon";1712;17;"CLASSE 5";"C"
"01344";"Saint-Denis-lès-Bourg";5504;13;"CLASSE 1";"D"
"01345";"Saint-Denis-en-Bugey";2178;3;"CLASSE 5";"D"
"01346";"Saint-Didier-d'Aussiat";897;15;"CLASSE 3";"F"
"01347";"Saint-Didier-de-Formans";1782;7;"CLASSE 1";"E"
"01348";"Saint-Didier-sur-Chalaronne";2776;25;"CLASSE 2";"F"
"01349";"Saint-Éloi";440;14;"CLASSE 5";"A"
"01350";"Saint-Étienne-du-Bois";2489;28;"CLASSE 2";"B"
"01351";"Saint-Étienne-sur-Chalaronne";1490;21;"CLASSE 4";"E"
"01352";"Saint-Étienne-sur-Reyssouze";550;14;"CLASSE 2";"F"
"01353";"Sainte-Euphémie";1580;5;"CLASSE 3";"D"
"01354";"Saint-Genis-Pouilly";9415;10;"CLASSE 5";"E"
"01355";"Saint-Genis-sur-Menthon";447;12;"CLASSE 5";"A"
"01356";"Saint-Georges-sur-Renon";208;6;"CLASSE 4";"D"
"01357";"Saint-Germain-de-Joux";455;11;"CLASSE 3";"A"
"01358";"Saint-Germain-les-Paroisses";408;16;"CLASSE 2";"D"
"01359";"Saint-Germain-sur-Renon";233;16;"CLASSE 5";"A"
"01360";"Saint-Jean-de-Gonville";1501;12;"CLASSE 1";"B"
"01361";"Saint-Jean-de-Niost";1428;14;"CLASSE 1";"B"
"01362";"Saint-Jean-de-Thurigneux";774;16;"CLASSE 1";"E"
"01363";"Saint-Jean-le-Vieux";1625;15;"CLASSE 1";"B"
"01364";"Saint-Jean-sur-Reyssouze";735;27;"CLASSE 2";"C"
"01365";"Saint-Jean-sur-Veyle";1087;11;"CLASSE 3";"B"
"01366";"Sainte-Julie";934;11;"CLASSE 1";"F"
"01367";"Saint-Julien-sur-Reyssouze";735;8;"CLASSE 2";"D"
"01368";"Saint-Julien-sur-Veyle";738;10;"CLASSE 3";"D"
"01369";"Saint-Just";885;3;"CLASSE 4";"D"
"01370";"Saint-Laurent-sur-Saône";1770;1;"CLASSE 3";"C"
"01371";"Saint-Marcel";1197;12;"CLASSE 4";"F"
"01372";"Saint-Martin-de-Bavel";426;9;"CLASSE 5";"A"
"01373";"Saint-Martin-du-Frêne";1098;19;"CLASSE 3";"D"
"01374";"Saint-Martin-du-Mont";1699;28;"CLASSE 4";"C"
"01375";"Saint-Martin-le-Châtel";796;13;"CLASSE 4";"E"
"01376";"Saint-Maurice-de-Beynost";3863;7;"CLASSE 1";"A"
"01378";"Saint-Maurice-de-Gourdans";2472;25;"CLASSE 3";"D"
"01379";"Saint-Maurice-de-Rémens";724;10;"CLASSE 4";"E"
"01380";"Saint-Nizier-le-Bouchoux";682;28;"CLASSE 1";"F"
"01381";"Saint-Nizier-le-Désert";889;25;"CLASSE 1";"A"
"01382";"Sainte-Olive";296;7;"CLASSE 5";"F"
"01383";"Saint-Paul-de-Varax";1500;26;"CLASSE 5";"C"
"01384";"Saint-Rambert-en-Bugey";2216;29;"CLASSE 3";"C"
"01385";"Saint-Rémy";964;7;"CLASSE 3";"D"
"01386";"Saint-Sorlin-en-Bugey";1068;9;"CLASSE 2";"B"
"01387";"Saint-Sulpice";173;5;"CLASSE 1";"F"
"01388";"Saint-Trivier-de-Courtes";1080;17;"CLASSE 1";"B"
"01389";"Saint-Trivier-sur-Moignans";1817;42;"CLASSE 2";"A"
"01390";"Saint-Vulbas";1011;21;"CLASSE 1";"B"
"01391";"Salavre";289;8;"CLASSE 4";"D"
"01392";"Samognat";691;14;"CLASSE 3";"C"
"01393";"Sandrans";514;29;"CLASSE 3";"D"
"01396";"Sault-Brénaz";1029;6;"CLASSE 3";"B"
"01397";"Sauverny";1070;2;"CLASSE 1";"B"
"01398";"Savigneux";1232;15;"CLASSE 4";"A"
"01399";"Ségny";1762;3;"CLASSE 5";"D"
"01400";"Seillonnaz";141;10;"CLASSE 4";"F"
"01401";"Sergy";2035;9;"CLASSE 4";"A"
"01402";"Sermoyer";675;17;"CLASSE 1";"C"
"01403";"Serrières-de-Briord";1302;8;"CLASSE 4";"B"
"01404";"Serrières-sur-Ain";125;8;"CLASSE 4";"C"
"01405";"Servas";1192;13;"CLASSE 3";"C"
"01406";"Servignat";166;8;"CLASSE 2";"C"
"01407";"Seyssel";950;2;"CLASSE 3";"E"
"01408";"Simandre-sur-Suran";679;16;"CLASSE 5";"B"
"01409";"Songieu";129;21;"CLASSE 5";"E"
"01410";"Sonthonnax-la-Montagne";317;14;"CLASSE 5";"B"
"01411";"Souclin";263;13;"CLASSE 3";"B"
"01412";"Sulignat";556;11;"CLASSE 1";"E"
"01413";"Surjoux";75;4;"CLASSE 2";"E"
"01414";"Sutrieu";232;19;"CLASSE 4";"D"
"01415";"Talissieu";432;5;"CLASSE 1";"A"
"01416";"Tenay";1085;13;"CLASSE 1";"D"
"01417";"Thézillieu";314;26;"CLASSE 2";"D"
"01418";"Thil";1030;5;"CLASSE 3";"B"
"01419";"Thoiry";5733;29;"CLASSE 2";"A"
"01420";"Thoissey";1589;1;"CLASSE 3";"F"
"01421";"Torcieu";707;11;"CLASSE 2";"A"
"01422";"Tossiat";1371;10;"CLASSE 4";"B"
"01423";"Toussieux";797;5;"CLASSE 1";"E"
"01424";"Tramoyes";1648;13;"CLASSE 2";"B"
"01425";"La Tranclière";302;15;"CLASSE 4";"C"
"01426";"Treffort-Cuisiat";2265;39;"CLASSE 1";"D"
"01427";"Trévoux";6714;6;"CLASSE 2";"C"
"01428";"Valeins";104;4;"CLASSE 3";"C"
"01429";"Vandeins";654;9;"CLASSE 2";"F"
"01430";"Varambon";522;8;"CLASSE 1";"E"
"01431";"Vaux-en-Bugey";1200;8;"CLASSE 3";"C"
"01432";"Verjon";256;5;"CLASSE 4";"C"
"01433";"Vernoux";319;10;"CLASSE 5";"C"
"01434";"Versailleux";354;19;"CLASSE 1";"E"
"01435";"Versonnex";2143;6;"CLASSE 4";"E"
"01436";"Vesancy";530;11;"CLASSE 2";"B"
"01437";"Vescours";222;12;"CLASSE 1";"B"
"01439";"Vésines";99;4;"CLASSE 1";"D"
"01441";"Vieu-d'Izenave";683;24;"CLASSE 1";"F"
"01442";"Vieu";378;7;"CLASSE 5";"C"
"01443";"Villars-les-Dombes";4430;25;"CLASSE 1";"C"
"01444";"Villebois";1158;14;"CLASSE 5";"B"
"01445";"Villemotier";644;14;"CLASSE 5";"F"
"01446";"Villeneuve";1408;27;"CLASSE 2";"A"
"01447";"Villereversure";1212;17;"CLASSE 5";"D"
"01448";"Villes";362;9;"CLASSE 3";"D"
"01449";"Villette-sur-Ain";669;19;"CLASSE 3";"D"
"01450";"Villieu-Loyes-Mollon";3200;16;"CLASSE 1";"D"
"01451";"Viriat";6160;45;"CLASSE 4";"C"
"01452";"Virieu-le-Grand";1141;13;"CLASSE 4";"B"
"01453";"Virieu-le-Petit";306;16;"CLASSE 5";"C"
"01454";"Virignin";939;8;"CLASSE 3";"A"
"01456";"Vongnes";74;2;"CLASSE 3";"D"
"01457";"Vonnas";2850;18;"CLASSE 2";"E"
"02001";"Abbécourt";540;6;"CLASSE 3";"A"
"02002";"Achery";620;7;"CLASSE 4";"D"
"02003";"Acy";1001;12;"CLASSE 1";"C"
"02004";"Agnicourt-et-Séchelles";202;11;"CLASSE 1";"B"
"02005";"Aguilcourt";393;11;"CLASSE 3";"D"
"02006";"Aisonville-et-Bernoville";274;9;"CLASSE 4";"B"
"02007";"Aizelles";113;5;"CLASSE 2";"C"
"02008";"Aizy-Jouy";298;15;"CLASSE 1";"C"
"02009";"Alaincourt";520;6;"CLASSE 1";"B"
"02010";"Allemant";176;5;"CLASSE 4";"D"
"02011";"Ambleny";1137;17;"CLASSE 1";"A"
"02012";"Ambrief";65;5;"CLASSE 1";"A"
"02013";"Amifontaine";415;28;"CLASSE 2";"D"
"02014";"Amigny-Rouy";749;13;"CLASSE 5";"B"
"02015";"Ancienville";78;4;"CLASSE 4";"B"
"02016";"Andelain";197;3;"CLASSE 4";"C"
"02017";"Anguilcourt-le-Sart";303;9;"CLASSE 3";"B"
"02018";"Anizy-le-Château";1930;9;"CLASSE 2";"B"
"02019";"Annois";387;6;"CLASSE 3";"B"
"02020";"Any-Martin-Rieux";467;18;"CLASSE 2";"F"
"02021";"Archon";84;6;"CLASSE 3";"D"
"02022";"Arcy-Sainte-Restitue";414;26;"CLASSE 2";"F"
"02023";"Armentières-sur-Ourcq";105;7;"CLASSE 1";"D"
"02024";"Arrancy";54;6;"CLASSE 1";"D"
"02025";"Artemps";360;6;"CLASSE 5";"A"
"02026";"Artonges";194;13;"CLASSE 5";"E"
"02027";"Assis-sur-Serre";264;8;"CLASSE 3";"E"
"02028";"Athies-sous-Laon";2624;15;"CLASSE 3";"F"
"02029";"Attilly";376;12;"CLASSE 4";"E"
"02030";"Aubencheul-aux-Bois";298;2;"CLASSE 1";"E"
"02031";"Aubenton";679;24;"CLASSE 5";"E"
"02032";"Aubigny-aux-Kaisnes";239;4;"CLASSE 4";"F"
"02033";"Aubigny-en-Laonnois";111;4;"CLASSE 5";"D"
"02034";"Audignicourt";104;6;"CLASSE 2";"C"
"02035";"Audigny";283;11;"CLASSE 3";"B"
"02036";"Augy";90;3;"CLASSE 2";"C"
