CODGEO;LIBGEO;REG;DEP;ARR;CV;ZE2010;UU2010;AU2010;TUU2010;TDUU2010;TAU2010;CATAEU2010;EPCI;NATURE_EPCI
01128;Courtes;82;01;012;0129;8202;01000;997;0;04;00;120;240100339;CC
01129;Crans;82;01;012;0108;8201;01000;002;0;04;09;112;240100677;CC
01130;Cras-sur-Reyssouze;82;01;012;0121;8202;01000;071;0;06;07;112;240100156;CC
01133;Cressin-Rochefort;82;01;011;0104;8216;01000;294;0;04;02;212;240100354;CC
01134;Crottet;82;01;012;0127;0053;01121;088;1;14;06;112;240100826;CC
01135;Crozet;82;01;013;0114;8219;01108;037;1;12;08;112;240100750;CC
01136;Cruzilles-lès-Mépillat;82;01;012;0127;0053;01000;088;0;05;06;112;240100826;CC
01138;Culoz;82;01;011;0131;8216;01109;744;1;12;01;221;240100438;CC
01139;Curciat-Dongalon;82;01;012;0129;8202;01000;997;0;04;00;120;240100339;CC
01140;Curtafond;82;01;012;0121;8202;01000;071;0;05;07;112;240100156;CC
01141;Cuzieu;82;01;011;0136;8216;01000;294;0;04;02;212;240100743;CC
01142;Dagneux;82;01;012;0120;8214;00758;002;7;73;09;111;240100610;CC
01143;Divonne-les-Bains;82;01;013;0114;8219;01203;037;2;22;08;112;240100750;CC
01144;Dommartin;82;01;012;0102;0053;01000;088;0;05;06;112;240100818;CC
01145;Dompierre-sur-Veyle;82;01;012;0125;8214;01000;002;0;06;09;112;240100628;CA
01146;Dompierre-sur-Chalaronne;82;01;012;0110;8213;01000;997;0;04;00;120;240100644;CC
01147;Domsure;82;01;012;0111;8202;01000;071;0;04;07;112;240100651;CC
01148;Dortan;82;01;014;0123;8203;01000;165;0;07;05;112;240100172;CC
01149;Douvres;82;01;011;0101;8201;01000;002;0;05;09;112;240100883;CC
01150;Drom;82;01;012;0107;8202;01000;071;0;03;07;112;240100636;CC
01151;Druillat;82;01;012;0125;8201;01000;002;0;06;09;112;240100842;CC
01152;Échallon;82;01;014;0123;8203;01000;165;0;05;05;112;ZZZZZZZZZ;ZZ
01153;Échenevex;82;01;013;0114;8219;01000;037;0;06;08;112;240100750;CC
01154;Étrez;82;01;012;0121;8202;01000;071;0;05;07;112;240100156;CC
01155;Évosges;82;01;011;0128;8201;01000;997;0;03;00;120;240100396;CC
01156;Faramans;82;01;012;0119;8201;01000;002;0;05;09;112;240100883;CC
01157;Fareins;82;01;012;0130;8213;00758;002;7;73;09;111;240100735;CC
01158;Farges;82;01;013;0112;8219;01000;037;0;05;08;112;240100750;CC
01159;Feillens;82;01;012;0102;0053;01112;088;1;13;06;112;240100818;CC
01160;Ferney-Voltaire;82;01;013;0113;8219;00652;037;6;61;08;111;240100750;CC
01162;Flaxieu;82;01;011;0136;8216;01000;998;0;02;00;300;240100354;CC
01163;Foissiat;82;01;012;0121;8202;01000;071;0;06;07;112;240100156;CC
01165;Francheleins;82;01;012;0130;8213;00451;002;4;41;09;112;240100727;CC
01166;Frans;82;01;012;0134;8213;00758;002;7;73;09;111;240100735;CC
01167;Garnerans;82;01;012;0132;0053;01000;997;0;05;00;120;240100594;CC
01169;Genouilleux;82;01;012;0132;8213;01000;002;0;05;09;112;240100727;CC
01170;Béard-Géovreissiat;82;01;014;0122;8203;01202;545;2;21;01;221;240100909;CC
01171;Géovreisset;82;01;014;0141;8203;01401;165;4;43;05;111;240100172;CC
01172;Germagnat;82;01;012;0133;8202;01000;071;0;03;07;112;240100636;CC
01173;Gex;82;01;013;0114;8219;01301;037;3;31;08;112;240100750;CC
01174;Giron;82;01;014;0103;8219;01000;998;0;03;00;300;240100891;CC
01175;Gorrevod;82;01;012;0126;0053;01117;997;1;13;00;120;240100685;CC
01176;Le Grand-Abergement;82;01;014;0106;8203;01000;000;0;03;00;400;240100370;CC
01177;Grand-Corent;82;01;012;0107;8202;01000;071;0;03;07;112;240100636;CC
01179;Grièges;82;01;012;0127;0053;01000;088;0;06;06;112;240100826;CC
01180;Grilly;82;01;013;0114;8219;01000;037;0;05;08;112;240100750;CC
01181;Groissiat;82;01;014;0141;8203;01401;165;4;43;05;111;240100172;CC
01182;Groslée;82;01;011;0118;8209;01000;002;0;04;09;112;240100347;CC
01183;Guéreins;82;01;012;0132;8213;00451;002;4;41;09;112;240100727;CC
01184;Hautecourt-Romanèche;82;01;012;0107;8202;01000;071;0;05;07;112;240100693;CC
01185;Hauteville-Lompnes;82;01;011;0115;8203;01120;540;1;14;01;221;240100578;CC
01186;Hostiaz;82;01;011;0128;8201;01000;997;0;02;00;120;240100396;CC
01187;Hotonnes;82;01;014;0106;8203;01000;000;0;04;00;400;240100370;CC
01188;Illiat;82;01;012;0132;8213;01000;997;0;05;00;120;240100594;CC
01189;Injoux-Génissiat;82;01;014;0103;8219;01000;998;0;05;00;300;240100891;CC
01190;Innimond;82;01;011;0118;8209;01000;998;0;03;00;300;240100412;CC
01191;Izenave;82;01;014;0106;8203;01000;998;0;03;00;300;240100867;CC
01192;Izernore;82;01;014;0116;8203;01000;998;0;07;00;300;240100701;CC
01193;Izieu;82;01;011;0104;8209;01000;998;0;03;00;300;240100347;CC
01194;Jassans-Riottier;82;01;012;0134;8213;00758;002;7;73;09;111;240100735;CC
01195;Jasseron;82;01;012;0107;8202;01000;071;0;06;07;112;240100628;CA
01196;Jayat;82;01;012;0121;8202;01115;071;1;13;07;112;240100156;CC
01197;Journans;82;01;012;0125;8202;01000;071;0;04;07;112;240100842;CC
01198;Joyeux;82;01;012;0119;8201;01000;002;0;04;09;112;240100883;CC
01199;Jujurieux;82;01;014;0124;8201;01116;002;1;13;09;112;240100784;CC
01200;Labalme;82;01;014;0124;8203;01000;997;0;03;00;120;240100784;CC
01202;Lagnieu;82;01;011;0117;8201;01204;002;2;22;09;112;240100883;CC
01203;Laiz;82;01;012;0127;0053;01121;088;1;14;06;112;240100826;CC
01204;Lalleyriat;82;01;014;0122;8203;01000;998;0;04;00;300;240100909;CC
01205;Lancrans;82;01;013;0112;8219;01000;998;0;06;00;300;240100891;CC
01206;Lantenay;82;01;014;0106;8203;01000;998;0;04;00;300;240100867;CC
01207;Lapeyrouse;82;01;012;0135;8213;01000;002;0;04;09;112;240100875;CC
01208;Lavours;82;01;011;0104;8216;01000;998;0;03;00;300;240100438;CC
01209;Léaz;82;01;013;0112;8219;01000;037;0;05;08;112;240100750;CC
01210;Lélex;82;01;013;0114;8219;01000;000;0;04;00;400;240100750;CC
01211;Lent;82;01;012;0139;8202;01000;071;0;06;07;112;240100628;CA
01212;Lescheroux;82;01;012;0129;8202;01000;071;0;05;07;112;240100339;CC
01213;Leyment;82;01;011;0117;8201;01000;002;0;06;09;112;240100883;CC
01214;Leyssard;82;01;014;0116;8203;01000;998;0;03;00;300;240100701;CC
01215;Lhôpital;82;01;014;0103;8219;01000;997;0;02;00;120;240100891;CC
01216;Lhuis;82;01;011;0118;8209;01000;002;0;05;09;112;240100412;CC
01218;Lochieu;82;01;011;0109;8216;01000;000;0;02;00;400;240100370;CC
01219;Lompnas;82;01;011;0118;8201;01000;002;0;03;09;112;240100412;CC
01221;Lompnieu;82;01;011;0109;8203;01000;998;0;03;00;300;240100370;CC
01224;Loyettes;82;01;011;0117;8214;01103;002;1;11;09;112;240100883;CC
01225;Lurcy;82;01;012;0130;8213;01000;002;0;04;09;112;240100727;CC
01227;Magnieu;82;01;011;0104;8216;01000;294;0;04;02;212;240100354;CC
01228;Maillat;82;01;014;0122;8203;01102;998;1;11;00;300;240100909;CC
01229;Malafretaz;82;01;012;0121;8202;01000;071;0;05;07;112;240100156;CC
01230;Mantenay-Montlin;82;01;012;0129;8202;01000;071;0;04;07;112;240100339;CC
01231;Manziat;82;01;012;0102;0053;01000;088;0;06;06;112;240100818;CC
01232;Marboz;82;01;012;0111;8202;01000;071;0;07;07;112;240100651;CC
01233;Marchamp;82;01;011;0118;8209;01000;002;0;03;09;112;240100412;CC
01234;Marignieu;82;01;011;0136;8216;01000;998;0;03;00;300;240100354;CC
01235;Marlieux;82;01;012;0135;8213;01000;002;0;05;09;112;240100875;CC
01236;Marsonnas;82;01;012;0121;8202;01000;071;0;05;07;112;240100156;CC
01237;Martignat;82;01;014;0141;8203;01401;165;4;43;05;111;240100172;CC
01238;Massieux;82;01;012;0142;8213;00758;002;7;73;09;111;240100602;CC
01239;Massignieu-de-Rives;82;01;011;0104;8216;01000;998;0;05;00;300;240100354;CC
01240;Matafelon-Granges;82;01;014;0116;8203;01000;165;0;05;05;112;240100701;CC
01241;Meillonnas;82;01;012;0133;8202;01000;071;0;06;07;112;240100636;CC
01242;Mérignat;82;01;014;0124;8201;01000;997;0;03;00;120;240100784;CC
01243;Messimy-sur-Saône;82;01;012;0130;8213;00758;002;7;73;09;111;ZZZZZZZZZ;ZZ
01244;Meximieux;82;01;012;0119;8201;01206;002;2;22;09;112;240100883;CC
01245;Bohas-Meyriat-Rignat;82;01;012;0107;8202;01000;071;0;05;07;112;240100693;CC
01246;Mézériat;82;01;012;0110;8202;01000;997;0;07;00;120;240100669;CC
01247;Mijoux;82;01;013;0114;8219;01000;000;0;04;00;400;240100750;CC
01248;Mionnay;82;01;012;0142;8214;01000;002;0;07;09;112;240100875;CC
01249;Miribel;82;01;012;0140;8214;00758;002;7;73;09;111;240100800;CC
01250;Misérieux;82;01;012;0142;8213;00758;002;7;73;09;111;240100602;CC
01252;Mogneneins;82;01;012;0132;8213;01000;002;0;05;09;112;240100594;CC
01254;Montagnat;82;01;012;0139;8202;01111;071;1;13;07;112;240100693;CC
01255;Montagnieu;82;01;011;0118;8201;01000;002;0;04;09;112;240100412;CC
01257;Montanges;82;01;014;0103;8219;01000;998;0;04;00;300;240100891;CC
01258;Montceaux;82;01;012;0132;8213;01000;002;0;06;09;112;240100727;CC
01259;Montcet;82;01;012;0143;8202;01000;071;0;05;07;112;240100628;CA
01260;Le Montellier;82;01;012;0119;8214;01000;002;0;04;09;112;240100883;CC
01261;Monthieux;82;01;012;0135;8213;01000;002;0;05;09;112;240100875;CC
01262;Montluel;82;01;012;0120;8214;00758;002;7;73;09;111;240100610;CC
01263;Montmerle-sur-Saône;82;01;012;0132;8213;00451;002;4;41;09;112;240100727;CC
01264;Montracol;82;01;012;0139;8202;01000;071;0;05;07;112;240100628;CA
01265;Montréal-la-Cluse;82;01;014;0122;8203;01202;545;2;21;01;221;240100172;CC
01266;Montrevel-en-Bresse;82;01;012;0121;8202;01115;071;1;13;07;112;240100156;CC
01267;Nurieux-Volognat;82;01;014;0116;8203;01000;998;0;06;00;300;240100701;CC
01268;Murs-et-Gélignieux;82;01;011;0104;8216;01000;998;0;04;00;300;240100354;CC
01269;Nantua;82;01;014;0122;8203;01123;657;1;14;01;221;240100909;CC
01271;Nattages;82;01;011;0104;8216;01000;997;0;05;00;120;240100354;CC
01272;Neuville-les-Dames;82;01;012;0110;8213;01000;997;0;06;00;120;240100644;CC
01273;Neuville-sur-Ain;82;01;012;0125;8201;01000;997;0;06;00;120;240100784;CC
01274;Les Neyrolles;82;01;014;0122;8203;01123;657;1;14;01;221;240100909;CC
01275;Neyron;82;01;012;0140;8214;00758;002;7;73;09;111;240100800;CC
01276;Niévroz;82;01;012;0120;8214;01000;002;0;06;09;112;240100610;CC
01277;Nivollet-Montgriffon;82;01;011;0128;8201;01000;002;0;03;09;112;240100396;CC
01279;Oncieu;82;01;011;0128;8201;01000;002;0;02;09;112;240100396;CC
01280;Ordonnaz;82;01;011;0118;8201;01000;998;0;03;00;300;240100412;CC
01281;Ornex;82;01;013;0113;8219;00652;037;6;61;08;111;240100750;CC
01282;Outriaz;82;01;014;0106;8203;01000;998;0;04;00;300;240100867;CC
01283;Oyonnax;82;01;014;0198;8203;01401;165;4;43;05;111;240100172;CC
01284;Ozan;82;01;012;0126;0053;01000;088;0;05;06;112;240100685;CC
01285;Parcieux;82;01;012;0142;8213;00758;002;7;73;09;111;240100602;CC
01286;Parves;82;01;011;0104;8216;01000;294;0;04;02;212;240100354;CC
01288;Péron;82;01;013;0112;8219;01000;037;0;06;08;112;240100750;CC
01289;Péronnas;82;01;012;0139;8202;01501;071;5;51;07;111;240100628;CA
01290;Pérouges;82;01;012;0119;8201;01206;002;2;22;09;112;240100883;CC
01291;Perrex;82;01;012;0127;0053;01000;997;0;05;00;120;240100826;CC
01292;Le Petit-Abergement;82;01;014;0106;8203;01000;000;0;03;00;400;240100370;CC
01293;Peyriat;82;01;014;0116;8203;01000;998;0;03;00;300;240100701;CC
01294;Peyrieu;82;01;011;0104;8216;01000;998;0;05;00;300;240100354;CC
