CODGEO;LIBGEO;REG;DEP;ARR;CV;ZE2010;UU2010;AU2010;TUU2010;TDUU2010;TAU2010;CATAEU2010;EPCI;NATURE_EPCI;POP2010;POP1999;CAT_ZDIFF;MODE_COLLECTE;GR_ROTATION
76116;Boos;23;76;763;7607;2307;00755;012;7;72;09;111;200023414;CA;3248;2870;2;1;1
76117;Bordeaux-Saint-Clair;23;76;762;7612;2306;76000;032;0;05;08;112;247600497;CC;623;566;1;1;2
76118;Bornambusc;23;76;762;7624;2306;76000;032;0;04;08;112;247600505;CC;283;240;1;1;1
76119;Bosc-Bérenger;23;76;761;7649;2307;76000;012;0;03;09;112;247600448;CC;187;177;1;1;5
76120;Bosc-Bordel;23;76;763;7608;2307;76000;012;0;04;09;112;247600455;CC;440;440;1;1;3
76121;Bosc-Édeline;23;76;763;7608;2307;76000;012;0;04;09;112;247600455;CC;324;283;1;1;1
76122;Callengeville;23;76;761;7638;0055;76000;998;0;04;00;300;247600513;CC;494;455;1;1;4
76123;Bosc-Guérard-Saint-Adrien;23;76;763;7611;2307;76000;012;0;05;09;112;247600760;CC;861;777;1;1;5
76124;Bosc-Hyons;23;76;761;7625;2307;76000;363;0;04;01;212;247600695;CC;399;311;1;1;4
76125;Bosc-le-Hard;23;76;761;7604;2307;76000;012;0;06;09;112;247600711;CC;1491;1411;1;1;2
76126;Bosc-Mesnil;23;76;761;7649;2307;76000;012;0;04;09;112;247600448;CC;287;212;1;1;1
76127;Bosc-Roger-sur-Buchy;23;76;763;7608;2307;76000;012;0;05;09;112;247600455;CC;736;650;1;1;3
76128;Bosville;23;76;761;7609;2305;76000;998;0;05;00;300;247600380;CC;539;511;1;1;5
76129;Boudeville;23;76;763;7615;2307;76000;012;0;03;09;112;247600638;CC;204;181;1;1;3
76130;Bouelles;23;76;761;7638;2307;76000;998;0;04;00;300;247600513;CC;254;240;1;1;3
76131;La Bouille;23;76;763;7626;2307;00168;012;1;14;09;112;200023414;CA;780;792;1;1;2
76132;Bourdainville;23;76;763;7654;2307;76000;012;0;04;09;112;247600778;CC;438;319;1;1;1
76133;Le Bourg-Dun;23;76;761;7639;2305;76000;998;0;04;00;300;247600737;CC;445;440;1;1;4
76134;Bourville;23;76;761;7622;2305;76000;998;0;04;00;300;247600737;CC;297;312;1;1;3
76135;Bouville;23;76;763;7641;2307;76000;012;0;05;09;112;247600653;CC;922;994;1;1;3
76136;Brachy;23;76;761;7603;2305;76000;997;0;05;00;120;247600745;CC;724;683;1;1;2
76137;Bracquemont;23;76;761;7614;2305;76000;106;0;05;06;112;247600398;CC;880;828;1;1;3
76138;Bracquetuit;23;76;761;7652;2307;76000;012;0;04;09;112;247600711;CC;323;304;1;1;3
76139;Bradiancourt;23;76;761;7649;2307;76000;012;0;03;09;112;247600448;CC;226;138;1;1;2
76140;Brametot;23;76;761;7622;2305;76000;998;0;03;00;300;247600737;CC;160;173;1;1;2
76141;Bréauté;23;76;762;7624;2306;76000;032;0;06;08;112;247600505;CC;1315;1098;1;1;1
76142;Brémontier-Merval;23;76;761;7625;2307;76000;998;0;04;00;300;247600695;CC;499;326;1;1;5
76143;Bretteville-du-Grand-Caux;23;76;762;7624;2306;76000;032;0;06;08;112;247600505;CC;1278;1133;1;1;1
76144;Bretteville-Saint-Laurent;23;76;763;7615;2307;76000;998;0;03;00;300;247600638;CC;173;183;1;1;3
76145;Brunville;23;76;761;7618;2305;76000;106;0;04;06;112;247600398;CC;261;219;1;1;2
76146;Buchy;23;76;763;7608;2307;76000;012;0;06;09;112;247600455;CC;1415;1150;1;1;3
76147;Bully;23;76;761;7638;2307;76000;998;0;05;00;300;247600513;CC;885;791;1;1;3
76148;Bures-en-Bray;23;76;761;7634;2307;76000;998;0;04;00;300;247600604;CC;335;266;1;1;5
76149;Butot;23;76;763;7641;2307;76000;012;0;04;09;112;247600778;CC;296;274;1;1;2
76151;Cailleville;23;76;761;7650;2305;76000;998;0;04;00;300;247600380;CC;259;230;1;1;3
76152;Cailly;23;76;763;7611;2307;76000;012;0;05;09;112;247600455;CC;713;739;1;1;2
76153;Calleville-les-Deux-Églises;23;76;761;7652;2307;76000;012;0;04;09;112;247600679;CC;326;305;1;1;1
76154;Campneuseville;23;76;761;7605;0055;76000;000;0;05;00;400;247600216;CC;505;486;1;1;3
76155;Canehan;23;76;761;7619;0055;76000;189;0;04;04;112;247600802;CC;324;311;1;1;4
76156;Canouville;23;76;761;7609;2305;76000;998;0;04;00;300;247600380;CC;321;247;1;1;5
76157;Canteleu;23;76;763;7636;2307;00755;012;7;72;09;111;200023414;CA;14825;15428;3;2;
76158;Canville-les-Deux-Églises;23;76;763;7615;2305;76000;998;0;04;00;300;247600638;CC;326;299;1;1;3
76159;Cany-Barville;23;76;761;7609;2305;76114;738;1;13;01;221;247600380;CC;3056;3367;2;1;3
76160;Carville-la-Folletière;23;76;763;7641;2307;76000;012;0;04;09;112;247600653;CC;396;222;1;1;5
76161;Carville-Pot-de-Fer;23;76;762;7640;2307;76000;998;0;03;00;300;247600638;CC;99;111;1;1;5
76162;Le Catelier;23;76;761;7635;2305;76000;106;0;04;06;112;247600703;CC;216;224;1;1;4
76163;Catenay;23;76;763;7608;2307;76000;012;0;05;09;112;247600455;CC;709;654;1;1;3
