CODGEO;LIBGEO;DEP;REG;EPCI;NATURE_EPCI;ARR;CV;ZE2010;UU2010;TUU2014;TDUU2014;AU2010;TAU2014;CATAEU2010;BV2012
24311;Nontron;24;75;200071819;CC;242;2413;7202;24109;1;13;610;01;221;24311
24312;Sanilhac;24;75;200040392;CA;243;2488;7202;24000;0;07;087;07;111;24322
24313;Orliac;24;75;200041440;CC;244;2423;7203;24000;0;02;000;00;400;24035
24314;Orliaguet;24;75;200040830;CC;244;2420;7203;24000;0;03;998;00;300;46309
24316;Parcoul-Chenaud;24;75;242400935;CC;243;2409;7205;24000;0;05;000;00;400;24354
24317;Paulin;24;75;200040830;CC;244;2420;7203;24000;0;04;000;00;400;46309
24318;Paunat;24;75;200040392;CA;243;2412;7201;24000;0;04;000;00;400;24067
24319;Paussac-et-Saint-Vivien;24;75;200040400;CC;243;2403;7202;24000;0;04;000;00;400;24064
24320;Payzac;24;75;242401024;CC;242;2406;7202;24000;0;05;000;00;400;87187
24321;Pazayac;24;75;200041150;CC;244;2420;7202;00554;5;52;085;07;111;19031
24322;Périgueux;24;75;200040392;CA;243;2499;7202;24501;5;51;087;07;111;24322
24323;Petit-Bersac;24;75;200040400;CC;243;2416;7202;24000;0;03;998;00;300;24352
24324;Peyrignac;24;75;200041150;CC;244;2405;7202;24000;0;05;998;00;300;24547
24325;Peyrillac-et-Millac;24;75;200040830;CC;244;2420;7203;24000;0;04;998;00;300;46309
24326;Peyzac-le-Moustier;24;75;200041168;CC;244;2425;7202;24000;0;03;000;00;400;24291
24327;Pezuls;24;75;200034833;CC;241;2408;7201;24000;0;03;998;00;300;24067
24328;Piégut-Pluviers;24;75;200071819;CC;242;2413;7202;24000;0;06;000;00;400;24311
24329;Le Pizou;24;75;200040384;CC;243;2409;7205;00354;3;31;360;01;221;24294
24330;Plazac;24;75;200041168;CC;244;2425;7202;24000;0;05;000;00;400;24291
24331;Pomport;24;75;200070647;CA;241;2419;7201;24000;0;05;109;06;112;24037
24334;Pontours;24;75;200034833;CC;241;2408;7201;24000;0;04;998;00;300;24223
24335;Port-Sainte-Foy-et-Ponchapt;24;75;243301371;CC;241;2411;7201;00553;5;51;109;06;111;24037
24336;Prats-de-Carlux;24;75;200040830;CC;244;2420;7203;24000;0;05;258;02;212;24520
24337;Prats-du-Périgord;24;75;200041440;CC;244;2423;7203;24000;0;03;000;00;400;24035
24338;Pressignac-Vicq;24;75;200034833;CC;241;2408;7201;24000;0;04;998;00;300;24223
24339;Preyssac-d'Excideuil;24;75;242401024;CC;242;2406;7202;24000;0;03;000;00;400;24164
24340;Prigonrieux;24;75;200070647;CA;241;2410;7201;00553;5;51;109;06;111;24037
24341;Proissans;24;75;200027217;CC;244;2418;7203;24000;0;05;258;02;212;24520
24345;Queyssac;24;75;200070647;CA;241;2402;7201;24000;0;04;109;06;112;24037
24346;Quinsac;24;75;200041572;CC;242;2403;7202;24000;0;04;000;00;400;24064
24347;Rampieux;24;75;200034833;CC;241;2408;7201;24000;0;03;000;00;400;24223
24348;Razac-d'Eymet;24;75;200040889;CC;241;2419;7201;24000;0;04;997;00;120;24167
24349;Razac-de-Saussignac;24;75;200070647;CA;241;2419;7201;24000;0;04;109;06;112;24037
24350;Razac-sur-l'Isle;24;75;200040392;CA;243;2404;7202;24107;1;13;087;07;112;24372
24351;Ribagnac;24;75;200070647;CA;241;2419;7201;24000;0;04;109;06;112;24037
24352;Ribérac;24;75;200040400;CC;243;2416;7202;24202;2;21;556;01;221;24352
24353;La Rochebeaucourt-et-Argentine;24;75;200041572;CC;242;2403;7202;24000;0;04;998;00;300;16015
24354;La Roche-Chalais;24;75;242400935;CC;243;2409;7205;00170;1;14;622;01;221;24354
24355;La Roque-Gageac;24;75;200027217;CC;244;2418;7203;24000;0;04;258;02;212;24520
24356;Rouffignac-Saint-Cernin-de-Reilhac;24;75;200041168;CC;244;2425;7202;24000;0;06;000;00;400;24067
24357;Rouffignac-de-Sigoulès;24;75;200070647;CA;241;2419;7201;24000;0;04;109;06;112;24037
24359;Sadillac;24;75;200040889;CC;241;2419;7201;24000;0;03;109;06;112;24167
24360;Sagelat;24;75;200041051;CC;244;2423;7203;24000;0;04;000;00;400;24035
24361;Saint-Agne;24;75;200034833;CC;241;2408;7201;24000;0;04;109;06;112;24223
24362;Val de Louyre et Caudeau;24;75;200040392;CA;243;2412;7201;24000;0;06;000;00;400;24067
24364;Saint-Amand-de-Coly;24;75;200041168;CC;244;2425;7203;24000;0;04;998;00;300;24291
24365;Saint-Amand-de-Vergt;24;75;200040392;CA;243;2412;7202;24000;0;04;998;00;300;24571
24366;Saint-André-d'Allas;24;75;200027217;CC;244;2418;7203;24000;0;05;258;02;212;24520
24367;Saint-André-de-Double;24;75;200040400;CC;243;2416;7202;24000;0;03;998;00;300;24352
24370;Saint-Antoine-de-Breuilh;24;75;200034197;CC;241;2411;7201;00553;5;51;109;06;111;24037
24371;Saint-Aquilin;24;75;200040095;CC;243;2424;7202;24000;0;04;998;00;300;24372
24372;Saint-Astier;24;75;200040095;CC;243;2417;7202;24203;2;21;997;00;120;24372
24373;Saint-Aubin-de-Cadelech;24;75;200040889;CC;241;2419;7201;24000;0;04;000;00;400;24167
24374;Saint-Aubin-de-Lanquais;24;75;200040889;CC;241;2419;7201;24000;0;04;109;06;112;24037
