CODGEO;LIBGEO;REG;DEP;ARR;CV;ZE1990;ZE2010;UU1999;AU1999;EU1999;TAU1999;TUU1999;TDUU1999;BV;EPCI;NATURE_EPCI;ZAUER1999
80213;Cottenchy;22;80;802;8013;2202;2210;80000;032;1T;08;0;04;80021;248000523;CC;2
80214;Coullemelle;22;80;803;8005;2202;2210;80000;000;9Z;00;0;04;80010;248000523;CC;6
80215;Coulonvillers;22;80;801;8004;2211;2209;80000;999;1T;00;0;04;80001;248000705;CC;3
80216;Courcelette;22;80;804;8006;2202;2210;80000;000;9Z;00;0;03;80016;248000747;CC;6
80217;Courcelles-au-Bois;22;80;802;8003;2202;2210;80000;000;9Z;00;0;02;80016;248000747;CC;6
80218;Courcelles-sous-Moyencourt;22;80;802;8035;2202;2210;80000;032;1T;08;0;03;80630;248000762;CC;2
80219;Courcelles-sous-Thoix;22;80;802;8017;2202;2210;80000;032;1T;08;0;02;80211;248000648;CC;2
80220;Courtemanche;22;80;803;8027;2219;2210;80000;000;9Z;00;0;02;80561;248000739;CC;6
80221;Cramont;22;80;801;8004;2211;2210;80000;000;9Z;00;0;04;62060;248000705;CC;6
80222;Crécy-en-Ponthieu;22;80;801;8019;2211;2209;80000;000;9Z;00;0;06;80222;200011997;CC;6
80223;Crémery;22;80;803;8038;2219;2210;80000;000;9Z;00;0;02;80685;ZZZZZZZZZ;;6
80224;Cressy-Omencourt;22;80;803;8038;2219;2210;80000;000;9Z;00;0;03;80685;ZZZZZZZZZ;;6
80225;Creuse;22;80;802;8026;2202;2210;80000;032;1T;08;0;03;80021;248000531;CA;2
80226;Croix-Moligneaux;22;80;804;8024;2219;2211;80000;000;9Z;00;0;04;80410;248000341;CC;6
80227;Croixrault;22;80;802;8035;2202;2210;80000;000;9Z;00;0;04;80630;248000762;CC;6
80228;Le Crotoy;22;80;801;8039;2211;2209;80000;000;9Z;00;0;07;80688;200011997;CC;6
80229;Crouy-Saint-Pierre;22;80;802;8034;2202;2210;80000;032;1T;08;0;04;80318;248000481;CC;2
80230;Curchy;22;80;803;8038;2219;2210;80000;000;9Z;00;0;04;80585;248000358;CC;6
80231;Curlu;22;80;804;8016;2219;2211;80000;000;9Z;00;0;03;80620;248000465;CC;6
80232;Damery;22;80;803;8038;2219;2210;80000;000;9Z;00;0;03;80685;ZZZZZZZZZ;;6
80233;Dancourt-Popincourt;22;80;803;8038;2219;2210;80000;000;9Z;00;0;03;80685;ZZZZZZZZZ;;6
80234;Daours;22;80;802;8018;2202;2210;80000;032;1T;08;0;05;80212;248000499;CC;2
80235;Dargnies;22;80;801;8022;2212;0055;80000;000;9Z;00;0;06;80373;247600588;CC;6
80236;Davenescourt;22;80;803;8027;2219;2210;80000;000;9Z;00;0;04;80561;248000739;CC;6
80237;Démuin;22;80;803;8028;2202;2210;80000;032;1T;08;0;04;80570;248000432;CC;2
80238;Dernancourt;22;80;804;8006;2202;2210;80000;000;9Z;00;0;04;80016;248000747;CC;6
80239;Devise;22;80;804;8024;2219;2211;80000;000;9Z;00;0;02;80410;248000721;CC;6
80240;Doingt;22;80;804;8033;2219;2211;80302;318;4O;01;3;31;80620;248000721;CC;1
80241;Domart-en-Ponthieu;22;80;802;8020;2202;2210;80000;032;1T;08;0;06;80241;248000457;CC;2
80242;Domart-sur-la-Luce;22;80;803;8028;2202;2210;80000;032;1T;08;0;04;80570;248000432;CC;2
80243;Domesmont;22;80;802;8012;2202;2210;80000;000;9Z;00;0;01;80253;248000689;CC;6
80244;Dominois;22;80;801;8019;2211;2209;80000;000;9Z;00;0;03;80222;200011997;CC;6
80245;Domléger-Longvillers;22;80;801;8019;2211;2210;80000;000;9Z;00;0;04;80253;248000689;CC;6
80246;Dommartin;22;80;802;8013;2202;2210;80000;032;1T;08;0;04;80010;248000523;CC;2
80247;Dompierre-Becquincourt;22;80;804;8015;2219;2211;80000;000;9Z;00;0;05;80620;248000549;CC;6
80248;Dompierre-sur-Authie;22;80;801;8019;2211;2209;80000;000;9Z;00;0;04;80222;200011997;CC;6
80249;Domqueur;22;80;801;8004;2211;2209;80000;000;9Z;00;0;04;80001;248000705;CC;6
80250;Domvast;22;80;801;8031;2211;2209;80000;173;1T;05;0;04;80222;248000622;CC;2
80251;Doudelainville;22;80;801;8023;2202;2209;80000;000;9Z;00;0;03;80606;248000614;CC;6
80252;Douilly;22;80;804;8024;2219;2211;80000;000;9Z;00;0;04;80410;248000341;CC;6
80253;Doullens;22;80;802;8021;2202;2210;80204;000;9Z;00;2;21;80253;248000416;CC;4
80256;Dreuil-lès-Amiens;22;80;802;8007;2202;2210;80601;032;1T;08;6;62;80021;248000531;CA;1
80258;Driencourt;22;80;804;8036;2219;2211;80000;000;9Z;00;0;02;80620;248000572;CC;6
80259;Dromesnil;22;80;802;8025;2202;2210;80000;000;9Z;00;0;03;80062;248000762;CC;6
80260;Drucat;22;80;801;8001;2211;2209;80000;173;1T;05;0;05;80001;248000556;CC;2
80261;Dury;22;80;802;8013;2202;2210;80601;032;1T;08;6;62;80021;248000531;CA;1
80262;Eaucourt-sur-Somme;22;80;801;8002;2211;2209;80000;173;1T;05;0;04;80001;248000556;CC;2
80263;L'Échelle-Saint-Aurin;22;80;803;8038;2219;2210;80000;000;9Z;00;0;02;80685;ZZZZZZZZZ;;6
80264;Éclusier-Vaux;22;80;804;8014;2202;2210;80000;000;9Z;00;0;02;80016;248000747;CC;6
80265;Embreville;22;80;801;8022;2212;0055;80000;000;9Z;00;0;05;80373;247600588;CC;6
80266;Englebelmer;22;80;802;8003;2202;2210;80000;000;9Z;00;0;04;80016;248000747;CC;6
80267;Ennemain;22;80;804;8024;2219;2211;80000;000;9Z;00;0;04;80620;248000341;CC;6
80268;Épagne-Épagnette;22;80;801;8002;2211;2209;80000;173;1T;05;0;05;80001;248000556;CC;2
80269;Épaumesnil;22;80;801;8032;2212;0055;80000;000;9Z;00;0;03;80013;248000580;CC;6
80270;Épécamps;22;80;802;8012;2202;2210;80000;999;1T;00;0;01;80253;248000689;CC;3
80271;Épehy;22;80;804;8036;2219;2211;80000;000;9Z;00;0;06;80677;248000572;CC;6
80272;Épénancourt;22;80;804;8030;2219;2211;80000;000;9Z;00;0;03;80585;248000358;CC;6
80273;Éplessier;22;80;802;8035;2202;2210;80000;000;9Z;00;0;04;80630;248000762;CC;6
80274;Eppeville;22;80;804;8024;2219;2211;80208;000;9Z;00;2;22;80410;248000341;CC;4
80275;Équancourt;22;80;804;8016;2219;2211;80000;000;9Z;00;0;04;80620;248000465;CC;6
80276;Équennes-Éramecourt;22;80;802;8035;2202;2210;80000;000;9Z;00;0;04;80630;248000762;CC;6
80278;Erches;22;80;803;8027;2219;2210;80000;000;9Z;00;0;03;80685;248000739;CC;6
80279;Ercheu;22;80;803;8038;2219;2210;80000;000;9Z;00;0;05;80585;ZZZZZZZZZ;;6
80280;Ercourt;22;80;801;8029;2212;2209;80000;000;9Z;00;0;03;80001;248000473;CC;6
80281;Ergnies;22;80;801;8004;2211;2210;80000;032;1T;08;0;03;80001;248000705;CC;2
80282;Érondelle;22;80;801;8023;2202;2209;80000;173;1T;05;0;04;80001;248000614;CC;2
80283;Esclainvillers;22;80;803;8005;2202;2210;80000;032;1T;08;0;03;80010;248000523;CC;2
80284;Esmery-Hallon;22;80;804;8024;2219;2211;80000;000;9Z;00;0;05;80410;248000341;CC;5
80285;Essertaux;22;80;802;8017;2202;2210;80000;032;1T;08;0;03;80211;248000648;CC;2
80287;Estréboeuf;22;80;801;8040;2212;0055;80000;000;9Z;00;0;04;80721;248000663;CC;6
