"CODGEO";"LIBGEO";"POP"
"01309";"POUILLAT";35
"01310";"PREMEYZEL";95
"01311";"PREMILLIEU";95
"01312";"PRESSIAT";200
"01313";"PREVESSIN-MOENS";1410
"01314";"PRIAY";765
"01316";"PUGIEU";100
"01317";"RAMASSE";220
"01318";"RANCE";220
"01319";"RELEVANT";280
"01320";"REPLONGES";2585
"01321";"REVONNAS";350
"01322";"REYRIEUX";1560
"01323";"REYSSOUZE";715
"01325";"RIGNIEUX-LE-FRANC";325
"01328";"ROMANS";350
"01329";"ROSSILLON";100
"01330";"RUFFIEU";145
"01331";"SAINT-ALBAN";130
"01332";"SAINT-ANDRE-DE-BAGE";240
"01333";"SAINT-ANDRE-DE-CORCY";910
"01334";"SAINT-ANDRE-D'HUIRIAT";255
"01335";"SAINT-ANDRE-LE-BOUCHOUX";160
"01336";"SAINT-ANDRE-SUR-VIEUX-JONC";800
"01337";"SAINT-BENIGNE";695
"01338";"SAINT-BENOIT";455
"01339";"SAINT-BERNARD";480
"01340";"SAINT-BOIS";170
"01341";"SAINT-CHAMP";85
"01342";"SAINTE-CROIX";175
"01343";"SAINT-CYR-SUR-MENTHON";815
"01344";"SAINT-DENIS-LES-BOURG";3345
"01345";"SAINT-DENIS-EN-BUGEY";1170
"01346";"SAINT-DIDIER-D'AUSSIAT";595
"01347";"SAINT-DIDIER-DE-FORMANS";630
"01348";"SAINT-DIDIER-SUR-CHALARONNE";1755
"01349";"SAINT-ELOI";125
"01350";"SAINT-ETIENNE-DU-BOIS";1490
"01351";"SAINT-ETIENNE-SUR-CHALARONNE";980
"01352";"SAINT-ETIENNE-SUR-REYSSOUZE";380
"01353";"SAINTE-EUPHEMIE";490
"01354";"SAINT-GENIS-POUILLY";3420
"01355";"SAINT-GENIS-SUR-MENTHON";370
"01356";"SAINT-GEORGES-SUR-RENON";100
"01357";"SAINT-GERMAIN-DE-JOUX";545
"01358";"SAINT-GERMAIN-LES-PAROISSES";335
"01359";"SAINT-GERMAIN-SUR-RENON";155
"01360";"SAINT-JEAN-DE-GONVILLE";760
"01361";"SAINT-JEAN-DE-NIOST";315
"01362";"SAINT-JEAN-DE-THURIGNEUX";265
"01363";"SAINT-JEAN-LE-VIEUX";960
"01364";"SAINT-JEAN-SUR-REYSSOUZE";670
"01365";"SAINT-JEAN-SUR-VEYLE";700
"01366";"SAINTE-JULIE";420
"01367";"SAINT-JULIEN-SUR-REYSSOUZE";625
"01368";"SAINT-JULIEN-SUR-VEYLE";335
"01369";"SAINT-JUST";290
"01370";"SAINT-LAURENT-SUR-SAONE";2015
"01371";"SAINT-MARCEL";160
"01372";"SAINT-MARTIN-DE-BAVEL";335
"01373";"SAINT-MARTIN-DU-FRENE";665
"01374";"SAINT-MARTIN-DU-MONT";995
"01375";"SAINT-MARTIN-LE-CHATEL";580
"01376";"SAINT-MAURICE-DE-BEYNOST";2805
"01378";"SAINT-MAURICE-DE-GOURDANS";1000
"01379";"SAINT-MAURICE-DE-REMENS";435
"01380";"SAINT-NIZIER-LE-BOUCHOUX";700
"01381";"SAINT-NIZIER-LE-DESERT";385
"01382";"SAINTE-OLIVE";160
"01383";"SAINT-PAUL-DE-VARAX";785
"01384";"SAINT-RAMBERT-EN-BUGEY";2430
"01385";"SAINT-REMY";360
