"CODGEO";"LIBGEO";"POP"
"01277";"NIVOLLET-MONTGRIFFON";84
"01279";"ONCIEU";80
"01280";"ORDONNAZ";124
"01281";"ORNEX";2676
"01282";"OUTRIAZ";284
"01283";"OYONNAX";24148
"01284";"OZAN";456
"01285";"PARCIEUX";888
"01286";"PARVES";316
"01288";"PERON";1584
"01289";"PERONNAS";5532
"01290";"PEROUGES";1088
"01291";"PERREX";716
"01292";"PETIT-ABERGEMENT";128
"01293";"PEYRIAT";152
"01294";"PEYRIEU";632
"01295";"PEYZIEUX-SUR-SAONE";360
"01296";"PIRAJOUX";312
"01297";"PIZAY";644
"01298";"PLAGNE";76
"01299";"PLANTAY";440
"01300";"POIZAT";300
"01301";"POLLIAT";2040
"01302";"POLLIEU";108
"01303";"PONCIN";1376
"01304";"PONT-D'AIN";2260
"01305";"PONT-DE-VAUX";1989
"01306";"PONT-DE-VEYLE";1484
"01307";"PORT";884
"01308";"POUGNY";660
"01309";"POUILLAT";64
"01310";"PREMEYZEL";244
"01311";"PREMILLIEU";36
"01312";"PRESSIAT";240
"01313";"PREVESSIN-MOENS";4228
"01314";"PRIAY";1144
"01316";"PUGIEU";128
"01317";"RAMASSE";220
"01318";"RANCE";508
"01319";"RELEVANT";380
"01320";"REPLONGES";2856
"01321";"REVONNAS";484
"01322";"REYRIEUX";3684
"01323";"REYSSOUZE";704
"01325";"RIGNIEUX-LE-FRANC";864
"01328";"ROMANS";528
"01329";"ROSSILLON";172
"01330";"RUFFIEU";176
"01331";"SAINT-ALBAN";112
"01332";"SAINT-ANDRE-DE-BAGE";476
"01333";"SAINT-ANDRE-DE-CORCY";3065
"01334";"SAINT-ANDRE-D'HUIRIAT";388
"01335";"SAINT-ANDRE-LE-BOUCHOUX";200
"01336";"SAINT-ANDRE-SUR-VIEUX-JONC";948
"01337";"SAINT-BENIGNE";796
"01338";"SAINT-BENOIT";560
"01339";"SAINT-BERNARD";1308
"01340";"SAINT-BOIS";96
"01341";"SAINT-CHAMP";128
"01342";"SAINTE-CROIX";464
"01343";"SAINT-CYR-SUR-MENTHON";1312
"01344";"SAINT-DENIS-LES-BOURG";4904
"01345";"SAINT-DENIS-EN-BUGEY";1956
"01346";"SAINT-DIDIER-D'AUSSIAT";676
"01347";"SAINT-DIDIER-DE-FORMANS";1524
"01348";"SAINT-DIDIER-SUR-CHALARONNE";2264
"01349";"SAINT-ELOI";432
"01350";"SAINT-ETIENNE-DU-BOIS";2032
"01351";"SAINT-ETIENNE-SUR-CHALARONNE";1152
"01352";"SAINT-ETIENNE-SUR-REYSSOUZE";408
"01353";"SAINTE-EUPHEMIE";1180
"01354";"SAINT-GENIS-POUILLY";6364
"01355";"SAINT-GENIS-SUR-MENTHON";376
"01356";"SAINT-GEORGES-SUR-RENON";164
"01357";"SAINT-GERMAIN-DE-JOUX";480
"01358";"SAINT-GERMAIN-LES-PAROISSES";360
"01359";"SAINT-GERMAIN-SUR-RENON";240
"01360";"SAINT-JEAN-DE-GONVILLE";1228
"01361";"SAINT-JEAN-DE-NIOST";1060
"01362";"SAINT-JEAN-DE-THURIGNEUX";564
"01363";"SAINT-JEAN-LE-VIEUX";1460
"01364";"SAINT-JEAN-SUR-REYSSOUZE";592
"01365";"SAINT-JEAN-SUR-VEYLE";960
"01366";"SAINTE-JULIE";540
"01367";"SAINT-JULIEN-SUR-REYSSOUZE";504
"01368";"SAINT-JULIEN-SUR-VEYLE";532
"01369";"SAINT-JUST";812
"01370";"SAINT-LAURENT-SUR-SAONE";1704
"01371";"SAINT-MARCEL";1084
"01372";"SAINT-MARTIN-DE-BAVEL";341
"01373";"SAINT-MARTIN-DU-FRENE";1028
"01374";"SAINT-MARTIN-DU-MONT";1297
"01375";"SAINT-MARTIN-LE-CHATEL";648
"01376";"SAINT-MAURICE-DE-BEYNOST";4008
"01378";"SAINT-MAURICE-DE-GOURDANS";1965
"01379";"SAINT-MAURICE-DE-REMENS";612
"01380";"SAINT-NIZIER-LE-BOUCHOUX";556
"01381";"SAINT-NIZIER-LE-DESERT";516
"01382";"SAINTE-OLIVE";228
"01383";"SAINT-PAUL-DE-VARAX";1204
"01384";"SAINT-RAMBERT-EN-BUGEY";2041
"01385";"SAINT-REMY";840
"01386";"SAINT-SORLIN-EN-BUGEY";957
"01387";"SAINT-SULPICE";112
"01388";"SAINT-TRIVIER-DE-COURTES";948
"01389";"SAINT-TRIVIER-SUR-MOIGNANS";1504
"01390";"SAINT-VULBAS";816
"01391";"SALAVRE";288
"01392";"SAMOGNAT";412
"01393";"SANDRANS";388
"01396";"SAULT-BRENAZ";956
"01397";"SAUVERNY";1016
"01398";"SAVIGNEUX";876
"01399";"SEGNY";1368
"01400";"SEILLONNAZ";140
"01401";"SERGY";1268
"01402";"SERMOYER";580
"01403";"SERRIERES-DE-BRIORD";984
"01404";"SERRIERES-SUR-AIN";84
"01405";"SERVAS";896
"01406";"SERVIGNAT";120
"01407";"SEYSSEL";840
"01408";"SIMANDRE-SUR-SURAN";644
"01409";"SONGIEU";120
"01410";"SONTHONNAX-LA-MONTAGNE";300
"01411";"SOUCLIN";248
"01412";"SULIGNAT";500
"01413";"SURJOUX";64
"01414";"SUTRIEU";213
"01415";"TALISSIEU";420
"01416";"TENAY";1132
"01417";"THEZILLIEU";300
"01418";"THIL";936
"01419";"THOIRY";4048
"01420";"THOISSEY";1356
"01421";"TORCIEU";652
"01422";"TOSSIAT";1108
"01423";"TOUSSIEUX";748
"01424";"TRAMOYES";1544
"01425";"TRANCLIERE";316
"01426";"TREFFORT-CUISIAT";1880
"01427";"TREVOUX";6418
"01428";"VALEINS";80
"01429";"VANDEINS";496
"01430";"VARAMBON";424
"01431";"VAUX-EN-BUGEY";996
"01432";"VERJON";192
"01433";"VERNOUX";116
"01434";"VERSAILLEUX";264
"01435";"VERSONNEX";1713
"01436";"VESANCY";444
"01437";"VESCOURS";184
"01439";"VESINES";112
"01441";"VIEU-D'IZENAVE";576
"01442";"VIEU";316
"01443";"VILLARS-LES-DOMBES";4230
"01444";"VILLEBOIS";928
"01445";"VILLEMOTIER";492
"01446";"VILLENEUVE";936
"01447";"VILLEREVERSURE";1124
"01448";"VILLES";288
"01449";"VILLETTE-SUR-AIN";488
"01450";"VILLIEU-LOYES-MOLLON";2392
"01451";"VIRIAT";5260
"01452";"VIRIEU-LE-GRAND";1008
"01453";"VIRIEU-LE-PETIT";300
"01454";"VIRIGNIN";652
"01456";"VONGNES";96
